,能源类型,环保标准,上市时间,最大功率(kW),最大扭矩(N·m),发动机型号,变速箱类型,长*宽*高(mm),车身结构
0,柴油,国VI,2021.02,105,320,,,5350×1885×1825,皮卡
1,柴油,国VI,2021.02,105,320,,,5350×1885×1825,皮卡
2,柴油,国VI,2021.02,105,320,,,5350×1885×1825,皮卡
3,柴油,国VI,2021.02,105,320,,,5350×1885×1825,皮卡
4,柴油,国VI,2021.02,105,320,,,5350×1885×1825,皮卡
5,柴油,国VI,2021.02,105,320,,,5350×1885×1825,皮卡
6,柴油,国VI,2021.02,105,320,,,5660×1885×1825,皮卡
7,柴油,国VI,2021.02,105,320,,,5660×1885×1825,皮卡
8,柴油,国VI,2021.02,105,320,,,5660×1885×1825,皮卡
9,柴油,国VI,2021.02,105,320,,,5660×1885×1825,皮卡
10,柴油,国VI,2021.02,105,320,,,5660×1885×1825,皮卡
11,柴油,国VI,2021.02,105,320,,,5660×1885×1825,皮卡
12,汽油,国VI,2021.02,170,310,,,5350×1885×1825,皮卡
13,汽油,国VI,2021.02,170,310,,,5350×1885×1825,皮卡
14,汽油,国VI,2021.02,170,310,,,5350×1885×1825,皮卡
15,汽油,国VI,2021.02,170,310,,,5350×1885×1825,皮卡
16,汽油,国VI,2021.02,170,310,,,5350×1885×1825,皮卡
17,汽油,国VI,2021.02,170,310,,,5350×1885×1825,皮卡
18,汽油,国VI,2021.02,170,310,,,5660×1885×1825,皮卡
19,汽油,国VI,2021.02,170,310,,,5660×1885×1825,皮卡
20,汽油,国VI,2021.02,170,310,,,5660×1885×1825,皮卡
21,汽油,国VI,2021.02,170,310,,,5660×1885×1825,皮卡
22,汽油,国VI,2021.02,170,310,,,5660×1885×1825,皮卡
23,汽油,国VI,2021.02,170,310,,,5660×1885×1825,皮卡
24,柴油,国V,2017.12,96,280,,,5660×1885×1825,皮卡
25,柴油,国V,2018.12,96,280,,,5660×1885×1848,皮卡
26,柴油,国V,2017.12,96,280,,,5660×1885×1825,皮卡
27,柴油,国V,2017.12,96,280,,,5660×1885×1825,皮卡
28,柴油,国V,2017.12,96,280,,,5660×1885×1825,皮卡
29,柴油,国V,2017.12,96,280,,,5660×1885×1825,皮卡
30,柴油,国VI,2021.01,105,320,,,5382×1877×1830,皮卡
31,柴油,国VI,2021.01,105,320,,,5692×1877×1830,皮卡
32,汽油,国VI,2021.01,170,310,,,5382×1877×1830,皮卡
33,汽油,国VI,2021.01,170,310,,,5692×1877×1830,皮卡
34,柴油,国VI,2021.01,105,320,,,5382×1877×1830,皮卡
35,柴油,国VI,2021.01,105,320,,,5692×1877×1830,皮卡
36,汽油,国VI,2021.01,170,310,,,5382×1877×1830,皮卡
37,汽油,国VI,2021.01,170,310,,,5692×1877×1830,皮卡
38,柴油,国VI,2021.01,105,320,,,5382×1877×1830,皮卡
39,柴油,国VI,2021.01,105,320,,,5692×1877×1830,皮卡
40,汽油,国VI,2021.01,170,310,,,5382×1877×1830,皮卡
41,汽油,国VI,2021.01,170,310,,,5692×1877×1830,皮卡
42,柴油,国VI,2021.01,105,320,,,5382×1877×1830,皮卡
43,柴油,国VI,2021.01,105,320,,,5692×1877×1830,皮卡
44,汽油,国VI,2021.01,170,310,,,5382×1877×1830,皮卡
45,汽油,国VI,2021.01,170,310,,,5692×1877×1830,皮卡
46,柴油,国VI,2021.01,105,320,,,5382×1877×1830,皮卡
47,柴油,国VI,2021.01,105,320,,,5692×1877×1830,皮卡
48,汽油,国VI,2021.01,170,310,,,5382×1877×1830,皮卡
49,汽油,国VI,2021.01,170,310,,,5692×1877×1830,皮卡
50,柴油,国VI,2021.01,105,320,,,5382×1877×1830,皮卡
51,柴油,国VI,2021.01,105,320,,,5692×1877×1830,皮卡
52,汽油,国VI,2021.01,170,310,,,5382×1877×1830,皮卡
53,汽油,国VI,2021.01,170,310,,,5692×1877×1830,皮卡
